duplicate_key,kept_source_file,duplicate_source_file,document_number,document_date,amount,content_hash,reason
224/163/00201||-1.03|84080eb9de6d80e802a48563f1003d0e47e43e608f590813dd5bc94b0f610350,00_INBOX - Входящи - Eingang/Enrico/abrechnungmai2025.zip::gutschrift 66 Mai 2025 zahariev.pdf,00_INBOX - Входящи - Eingang/Enrico/abrechnungmai2025.zip::gutschrift 66 Mai 2025 zahariev.pdf,224/163/00201,,-1.03,84080eb9de6d80e802a48563f1003d0e47e43e608f590813dd5bc94b0f610350,"Same document number, date, amount, and file hash."
ico||-1.03|ae4a3eb7a60d66edd98611506f60eff65fa6e0c4b8c1ead9780a146e46a9412a,00_INBOX - Входящи - Eingang/Enrico/abrechnungseptember.zip::Gutschrift 31-2024 Zahariev Martin 30.09.2024.pdf,00_INBOX - Входящи - Eingang/Enrico/abrechnungseptember.zip::Gutschrift 31-2024 Zahariev Martin 30.09.2024.pdf,ico,,-1.03,ae4a3eb7a60d66edd98611506f60eff65fa6e0c4b8c1ead9780a146e46a9412a,"Same document number, date, amount, and file hash."
ico||-1.03|b18854e6f4a098b4e9446099378ca77122c9702424b1e3056276e8b03aec3ee3,00_INBOX - Входящи - Eingang/Enrico/gutschriftundrechnungen.zip::Gutschrift 42-2024 Zahariev Martin 30.11.2024.pdf,00_INBOX - Входящи - Eingang/Enrico/gutschriftundrechnungen.zip::Gutschrift 42-2024 Zahariev Martin 30.11.2024.pdf,ico,,-1.03,b18854e6f4a098b4e9446099378ca77122c9702424b1e3056276e8b03aec3ee3,"Same document number, date, amount, and file hash."
ico||-1.03|33dbab17d4b30319c76973ce79fc547cfb024cf236e6dfe44259a2a2dec97258,00_INBOX - Входящи - Eingang/Enrico/peremailsendengutschrift382024zaharievmartin31_10_.zip::Gutschrift 38-2024 Zahariev Martin 31.10.2024.pdf,00_INBOX - Входящи - Eingang/Enrico/peremailsendengutschrift382024zaharievmartin31_10_.zip::Gutschrift 38-2024 Zahariev Martin 31.10.2024.pdf,ico,,-1.03,33dbab17d4b30319c76973ce79fc547cfb024cf236e6dfe44259a2a2dec97258,"Same document number, date, amount, and file hash."
ico||-1.03|b18854e6f4a098b4e9446099378ca77122c9702424b1e3056276e8b03aec3ee3,00_INBOX - Входящи - Eingang/Enrico/gutschriftundrechnungen.zip::Gutschrift 42-2024 Zahariev Martin 30.11.2024.pdf,00_INBOX - Входящи - Eingang/Enrico/peremailsendengutschrift422024zaharievmartin30_11_.zip::Gutschrift 42-2024 Zahariev Martin 30.11.2024.pdf,ico,,-1.03,b18854e6f4a098b4e9446099378ca77122c9702424b1e3056276e8b03aec3ee3,"Same document number, date, amount, and file hash."
ico||-1.03|b18854e6f4a098b4e9446099378ca77122c9702424b1e3056276e8b03aec3ee3,00_INBOX - Входящи - Eingang/Enrico/gutschriftundrechnungen.zip::Gutschrift 42-2024 Zahariev Martin 30.11.2024.pdf,00_INBOX - Входящи - Eingang/Enrico/peremailsendengutschrift422024zaharievmartin30_11_.zip::Gutschrift 42-2024 Zahariev Martin 30.11.2024.pdf,ico,,-1.03,b18854e6f4a098b4e9446099378ca77122c9702424b1e3056276e8b03aec3ee3,"Same document number, date, amount, and file hash."
ico||-0.30|b18854e6f4a098b4e9446099378ca77122c9702424b1e3056276e8b03aec3ee3,00_INBOX - Входящи - Eingang/Enrico/gutschriftundrechnungen.zip::Gutschrift 42-2024 Zahariev Martin 30.11.2024.pdf,00_INBOX - Входящи - Eingang/Enrico/peremailsendengutschrift422024zaharievmartin30_11_.zip::Gutschrift 42-2024 Zahariev Martin 30.11.2024.pdf,ico,,-0.30,b18854e6f4a098b4e9446099378ca77122c9702424b1e3056276e8b03aec3ee3,"Same document number, date, amount, and file hash."
ico||-1.03|34dbf26d65b9c013e30b9977f27f78371dec0079872f6ea818d64756a3bf8358,00_INBOX - Входящи - Eingang/Enrico/peremailsendengutschrift442024zaharievmartin31_12_.zip::Gutschrift 44-2024 Zahariev Martin 31.12.2024.pdf,00_INBOX - Входящи - Eingang/Enrico/peremailsendengutschrift442024zaharievmartin31_12_.zip::Gutschrift 44-2024 Zahariev Martin 31.12.2024.pdf,ico,,-1.03,34dbf26d65b9c013e30b9977f27f78371dec0079872f6ea818d64756a3bf8358,"Same document number, date, amount, and file hash."
224/163/00201||-1.03|649e2ed770460b216096186910b96e9864b52bb0ba7280001c146c114ac9db6a,00_INBOX - Входящи - Eingang/Enrico/peremailsendengutschriftmrz2025zahariev_pdf.zip::gutschrift märz 2025 zahariev.pdf,00_INBOX - Входящи - Eingang/Enrico/peremailsendengutschriftmrz2025zahariev_pdf.zip::gutschrift märz 2025 zahariev.pdf,224/163/00201,,-1.03,649e2ed770460b216096186910b96e9864b52bb0ba7280001c146c114ac9db6a,"Same document number, date, amount, and file hash."
ico||-1.03|e218858dacb6c47f191aeffaf2d0feda60796e6b8978309e1775ae285edfd861,00_INBOX - Входящи - Eingang/Enrico/peremailsendenleistungsnachweismartinzaharievfebruar.zip::Martin Zahariev Gutschrift 52 28.02.2025.pdf,00_INBOX - Входящи - Eingang/Enrico/peremailsendenleistungsnachweismartinzaharievfebruar.zip::Martin Zahariev Gutschrift 52 28.02.2025.pdf,ico,,-1.03,e218858dacb6c47f191aeffaf2d0feda60796e6b8978309e1775ae285edfd861,"Same document number, date, amount, and file hash."
ico||-1.03|92751fe06898462bf16e995a18f6cbac4b31456675284cbb9d71115ab7db1700,00_INBOX - Входящи - Eingang/Enrico/peremailsendenmartinzaharievgutschrift4831_01_2025_.zip::Martin Zahariev Gutschrift 48 31.01.2025.pdf,00_INBOX - Входящи - Eingang/Enrico/peremailsendenmartinzaharievgutschrift4831_01_2025_.zip::Martin Zahariev Gutschrift 48 31.01.2025.pdf,ico,,-1.03,92751fe06898462bf16e995a18f6cbac4b31456675284cbb9d71115ab7db1700,"Same document number, date, amount, and file hash."
